id,language,version,order_index,section_label,label_original,detail_original,expected_value_type,active,source_file,source_sheet,source_rows,slug,llm_group
fr_001_date_de_l_arret,fr,client_excel_v1,1,Métadonnées de l’arrêt,Date de l'arrêt,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,6,date_de_l_arret,metadata
fr_002_numero_de_l_arret,fr,client_excel_v1,2,Métadonnées de l’arrêt,Numéro de l'arrêt,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,8,numero_de_l_arret,metadata
fr_003_juge,fr,client_excel_v1,3,Métadonnées de l’arrêt,Juge,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,10,juge,metadata
fr_004_avocat_du_demandeur,fr,client_excel_v1,4,Métadonnées de l’arrêt,Avocat du demandeur,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,12,avocat_du_demandeur,metadata
fr_005_chambres_fr_cce_ou_nl_cvv,fr,client_excel_v1,5,Métadonnées de l’arrêt,Chambres FR ( CCE ) ou NL ( CvV ),,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,14,chambres_fr_cce_ou_nl_cvv,metadata
fr_006_date_d_arrivee_en_belgique_du_demandeur_date_d_i,fr,client_excel_v1,6,Métadonnées de l’arrêt,Date d'arrivée en Belgique du demandeur + date d'introduction de la DPI,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,16,date_d_arrivee_en_belgique_du_demandeur_date_d_introduction_de_la_dpi,metadata
fr_007_duree_procedure,fr,client_excel_v1,7,Métadonnées de l’arrêt,Durée procédure,durée en mois entre date d'introduction de la DPI jusque date de l'arrêt,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,18,duree_procedure,procedure
fr_008_procedure_acceleree_ou_non,fr,client_excel_v1,8,Métadonnées de l’arrêt,Procédure accelérée ou non,Si non mentionné = NON,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,20,procedure_acceleree_ou_non,procedure
fr_009_nationalite_du_demandeur,fr,client_excel_v1,9,IDENTITE DU DEMANDEUR,Nationalité du Demandeur,Préciser si elle est contestée par CGRA et/ou CCE,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,25,nationalite_du_demandeur,identity
fr_010_ethnie_du_demandeur,fr,client_excel_v1,10,IDENTITE DU DEMANDEUR,Ethnie du demandeur,"Préciser éthnie du conjoint, de la mère et/ou du mari, si connue",text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,27,ethnie_du_demandeur,identity
fr_011_religion_de_demandeur,fr,client_excel_v1,11,IDENTITE DU DEMANDEUR,Religion de demandeur,"Préciser religion du conjoint, si connue",text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,29,religion_de_demandeur,identity
fr_012_taux_de_prevalence_des_mgf_dans_le_pays_d_origin,fr,client_excel_v1,12,IDENTITE DU DEMANDEUR,Taux de prévalence des MGF dans le pays d'origine et/ou dans ethnie du demandeur,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,31,taux_de_prevalence_des_mgf_dans_le_pays_d_origine_et_ou_dans_ethnie_du,identity
fr_013_sexe_requerant_e,fr,client_excel_v1,13,IDENTITE DU DEMANDEUR,Sexe requérant(e),,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,33,sexe_requerant_e,identity
fr_014_1_region_ou_ville_de_de_naissance_du_demandeur_2,fr,client_excel_v1,14,IDENTITE DU DEMANDEUR,1. Région ou ville de de naissance du demandeur 2. Lieu de vie du demandeur,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,35,1_region_ou_ville_de_de_naissance_du_demandeur_2_lieu_de_vie_du_demand,identity
fr_015_demandeur_mena,fr,client_excel_v1,15,IDENTITE DU DEMANDEUR,Demandeur = MENA?,Préciser si réalisation d'un test d'osseux,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,37,demandeur_mena,identity
fr_016_documents_attestant_de_l_identite_du_demandeur_d,fr,client_excel_v1,16,IDENTITE DU DEMANDEUR,Documents attestant de l'identité du demandeur déposés,Préciser si CGRA/CCE conteste leur force probante et le cas échéant pourquoi?,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,39,documents_attestant_de_l_identite_du_demandeur_deposes,identity
fr_017_demandeur_avec_enfant_s,fr,client_excel_v1,17,PROFIL DU DEMANDEUR,Demandeur avec enfant(s)?,détailler sexe/âge/lieu de naissance et lieu de résidence actuel de chaque enfant + préciser si enfant né hors mariage,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,44,demandeur_avec_enfant_s,profile_vulnerability
fr_018_demandeur_une_mere_celibataire,fr,client_excel_v1,18,PROFIL DU DEMANDEUR,Demandeur = une mère célibataire?,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,46,demandeur_une_mere_celibataire,profile_vulnerability
fr_019_annee_de_naissance_ou_age_du_demandeur,fr,client_excel_v1,19,PROFIL DU DEMANDEUR,Année de naissance ( ou âge ) du demandeur,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,48,annee_de_naissance_ou_age_du_demandeur,profile_vulnerability
fr_020_niveau_d_etudes_et_autonomie_financiere_du_deman,fr,client_excel_v1,20,PROFIL DU DEMANDEUR,Niveau d'études et autonomie ( financière ) du demandeur,,text_or_structured_json,True,Critères analyse(2).xlsx,Feuil1,50,niveau_d_etudes_et_autonomie_financiere_du_demandeur,profile_vulnerability
